utterance_id,emotion,start_sec,end_sec,source_emotion_file,duration_sec,session,speaker,gender_proxy,transcript,source_transcription_file,n_words,wav_path
Ses01F_impro01_F000,neu,6.2901,8.2357,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,1.9455999999999998,Ses01,Ses01F,F,Excuse me.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,2,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F000.wav
Ses01F_impro01_F001,neu,10.01,11.3925,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,1.3825000000000003,Ses01,Ses01F,F,Yeah.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,1,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F001.wav
Ses01F_impro01_F002,neu,14.8872,18.0175,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,3.1302999999999983,Ses01,Ses01F,F,Is there a problem?,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,4,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F002.wav
Ses01F_impro01_F005,neu,27.46,31.49,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.029999999999998,Ses01,Ses01F,F,Well what's the problem?  Let me change it.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,8,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F005.wav
Ses01F_impro01_F006,fru,38.965,43.59,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.625,Ses01,Ses01F,F,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,14,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F006.wav
Ses01F_impro01_F007,fru,46.58,52.19,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,5.609999999999999,Ses01,Ses01F,F,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,22,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F007.wav
Ses01F_impro01_F008,fru,56.16,58.8225,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.6625000000000014,Ses01,Ses01F,F,I'm here to get an ID.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,6,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F008.wav
Ses01F_impro01_F009,fru,61.87,65.97,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.100000000000001,Ses01,Ses01F,F,Like what?  Like a birth certificate?,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,6,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F009.wav
Ses01F_impro01_F011,fru,72.45,82.26,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,9.810000000000002,Ses01,Ses01F,F,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,28,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F011.wav
Ses01F_impro01_F012,ang,85.27,88.02,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.75,Ses01,Ses01F,F,That's out of control.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,4,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F012.wav
