utterance_id,emotion,speaker,session,transcript,F_epistemic_pull,F_privacy_pressure,F_computational_drag,F_action_efficiency,emotion_uncertainty,emotion_confidence,identity_confidence
Ses01F_impro01_F000,neu,Ses01F,Ses01,Excuse me.,0.5691630281444081,0.8920918997793779,0.16748790513370265,0.578197437861472,0.30850637172884543,0.7244593738480504,0.946608129949111
Ses01F_impro01_F001,neu,Ses01F,Ses01,Yeah.,0.9568671622259651,0.9889347064621619,0.17448149932081547,0.9865102548964951,0.03088684205734823,0.9911877669501582,0.9945250010988771
Ses01F_impro01_F002,neu,Ses01F,Ses01,Is there a problem?,0.9593716608270824,0.8329525502415902,0.21480787389900388,0.9865390714635169,0.029093470095111654,0.9912065912346181,0.9173465596915968
Ses01F_impro01_F005,neu,Ses01F,Ses01,Well what's the problem?  Let me change it.,0.49898269137906415,0.9617557649310576,0.20770421255112093,0.6495544940521896,0.3587597231178805,0.7710730292127174,0.9810771273337267
Ses01F_impro01_F006,fru,Ses01F,Ses01,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,0.9986906388128098,0.9940388030692378,0.3733408091309423,0.9997343717211951,0.0009387118245553481,0.9998263579609914,0.9970504580515894
Ses01F_impro01_F007,fru,Ses01F,Ses01,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,0.9793483116832701,0.8738700103957358,0.39607361224211535,0.9936198965026789,0.014788983948105837,0.9958321062949763,0.9375921177577121
Ses01F_impro01_F008,fru,Ses01F,Ses01,I'm here to get an ID.,0.8163249783272437,0.9274729653742452,0.3257055308558075,0.9084045976716716,0.13152351719984354,0.9401656202660529,0.964114334274683
Ses01F_impro01_F009,fru,Ses01F,Ses01,Like what?  Like a birth certificate?,0.9498478143101173,0.5677136235680281,0.33215495025573955,0.9830155572009928,0.035913118270818625,0.9889048724099679,0.7861089395867811
Ses01F_impro01_F011,fru,Ses01F,Ses01,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",0.9648528705323823,0.9114027328588088,0.3786348963367417,0.9898839982055246,0.025168593554857528,0.9933916486164035,0.9561629408034956
Ses01F_impro01_F012,ang,Ses01F,Ses01,That's out of control.,0.8946162473858483,0.9999816972530604,0.15650186000449237,0.9487603902594789,0.0754622493856029,0.9665278485876402,0.9999909438204054
Ses01F_impro01_F013,fru,Ses01F,Ses01,How long have you been working here?,0.1407814930124178,0.9766054711569382,0.3018375844558124,0.32219435878154395,0.61525337246699,0.5572265879462451,0.988424616364772
Ses01F_impro01_F014,neu,Ses01F,Ses01,"Clearly.  You know, do you have like a supervisor or something?",0.9207380971482414,0.9998703000352109,0.21387553000028542,0.9701435832122548,0.0567574304071714,0.9804963170209908,0.9999358255693244
Ses01F_impro01_F015,fru,Ses01F,Ses01,That would - I would appreciate that.  Yeah.,0.6439882433514565,0.9071871891443939,0.4526760910012272,0.8195260853644378,0.2549270073958885,0.8821061575698795,0.9540771311093231
Ses01F_impro01_M000,fru,Ses01F,Ses01,Do you have your forms?,0.8862581913151171,0.9990971721756187,0.3241721483229325,0.9531115877728222,0.08144712133137458,0.9693702475337022,0.9995532894853412
Ses01F_impro01_M001,fru,Ses01F,Ses01,Let me see them.,0.5697505283921828,0.8338871947059477,0.3322701506828569,0.7808993887581619,0.30808568613864545,0.8568734529209071,0.917809012607859
Ses01F_impro01_M002,fru,Ses01F,Ses01,Who told you to get in this line?,0.8195310900037768,0.9784006505313817,0.07535142173148161,0.9253664216783737,0.12922774798442901,0.9512458506008267,0.9893128535165275
Ses01F_impro01_M003,fru,Ses01F,Ses01,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,0.9967061877939541,0.9727096039176435,0.26494737564382703,0.999218268898156,0.0023596983709482985,0.9994892162624666,0.9864969794558857
Ses01F_impro01_M004,fru,Ses01F,Ses01,This form is a Z.X.four.,0.9420911388605925,0.819344573750252,0.4113231717911962,0.9792385066782057,0.04146736544234502,0.9864375322369994,0.9106134663573615
Ses01F_impro01_M005,fru,Ses01F,Ses01,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",0.9999328073381485,0.9692639385274386,0.3809871426946221,0.9999894983245168,4.9244286134114054e-05,0.9999930181933,0.9847920980074527
Ses01F_impro01_M006,fru,Ses01F,Ses01,No. I need another set of ID to prove this is actually you.,0.8202309951297347,0.7458368941869307,0.30105525902606933,0.920072341851388,0.1287265737260131,0.9477875182970307,0.8742425872925758
Ses01F_impro01_M007,fru,Ses01F,Ses01,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,0.9894106698569289,0.9468084743327781,0.3668790003637802,0.9971604030042053,0.007583728966301333,0.9981449252184115,0.9736813545120867
Ses01F_impro01_M008,fru,Ses01F,Ses01,"No.  I need another ID, a separate one.",0.9299888705707875,0.8200064770844971,0.23480405627206433,0.9711083953857044,0.05013331902711423,0.981126575954664,0.9109409696368205
Ses01F_impro01_M009,fru,Ses01F,Ses01,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",0.773534837704133,0.43352637433856483,0.25581011503768947,0.8954219792281906,0.16216383715027852,0.9316847869166788,0.7197144044476752
Ses01F_impro01_M010,fru,Ses01F,Ses01,"Yeah.  We keep it on file, but we need an ID to access that file.",0.9951084499077222,0.580934934674382,0.3899604264686496,0.9988476939746507,0.0035037750044483724,0.9992471399676585,0.7926507146799925
Ses01F_impro01_M011,ang,Ses01F,Ses01,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,0.9985341036562313,0.9816438623477544,0.3119313841879852,0.9996687422490641,0.0010508004321460604,0.9997834858224954,0.9909175629217967
Ses01F_impro01_M013,ang,Ses01F,Ses01,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,0.9870524823798899,0.5323605148660768,0.2737760423531922,0.9962384180919951,0.009272333344492163,0.9975426429881254,0.7686165680576913
Ses01F_impro02_F000,sad,Ses01F,Ses01,Did you get the mail? So you saw my letter?,0.4942930212841392,0.999990440672084,0.2529834625848394,0.38091268619036794,0.36211780958541784,0.5955840542367429,0.9999952699784043
Ses01F_impro02_F001,sad,Ses01F,Ses01,Yeah.  I know.,0.9694724762297081,0.9998381950090859,0.31154598015339074,0.9890330774119347,0.021860677419277857,0.9928357886814164,0.9999199403172051
Ses01F_impro02_F002,sad,Ses01F,Ses01,I don't know.  I put in that. request too. They didn't...,0.8257831453951926,0.7745807479529427,0.32453211933428944,0.9103652310753457,0.12475089946859684,0.9414463946512945,0.8884647642867352
Ses01F_impro02_F003,neu,Ses01F,Ses01,"I guess, you know, everybody has to make sacrifices.",0.7678979903471342,0.9827762250378644,0.17586760653326275,0.8913221895599688,0.16620015963053048,0.929006618941933,0.9914778448774254
Ses01F_impro02_F004,sad,Ses01F,Ses01,"There's people that have given more though, you know?",0.8688154073751843,0.8789358136415149,0.24435036277320682,0.934083611636707,0.09393720603226927,0.9569403132112243,0.9400986275307422
Ses01F_impro02_F005,sad,Ses01F,Ses01,I know.,0.8150214474587862,0.996911767549031,0.21767444699453756,0.8946701605891505,0.13245692387468014,0.9311936649897417,0.9984719727051975
Ses01F_impro02_F006,neu,Ses01F,Ses01,"There's babies over there, though, that need mothers.",0.8190283217259393,0.9989370808948626,0.22212930518828347,0.9168818893976397,0.1295877603767591,0.9457033705045699,0.9994740778894059
Ses01F_impro02_F008,sad,Ses01F,Ses01,"Just, you know, kicking myself.",0.9359929532424741,0.974891790591047,0.09183854567976815,0.9789015119256304,0.04583403392567709,0.9862173920281002,0.9875767040243476
